drug_name,ddinter_id
Estrone sulfate (topical),DDInter684
Eszopiclone,DDInter685
Etacrynic acid,DDInter686
Etanercept,DDInter687
Etelcalcetide,DDInter688
Ethambutol,DDInter689
Ethanol,DDInter690
Ethchlorvynol,DDInter691
Ethinylestradiol,DDInter692
Ethionamide,DDInter694
Ethosuximide,DDInter695
Ethotoin,DDInter696
Etidocaine,DDInter697
Etidronic acid,DDInter698
Etodolac,DDInter699
Etomidate,DDInter700
Etonogestrel,DDInter701
Etoposide,DDInter702
Etravirine,DDInter703
Everolimus,DDInter704
Exemestane,DDInter705
Exenatide,DDInter706
Ezetimibe,DDInter707
Ezogabine,DDInter708
Factor IX Complex (Human),DDInter709
Famciclovir,DDInter711
Famotidine,DDInter712
Febuxostat,DDInter713
Fedratinib,DDInter714
Felbamate,DDInter715
Felodipine,DDInter716
Fenfluramine,DDInter717
Fenofibrate,DDInter718
Fenofibric acid,DDInter719
Fenoldopam,DDInter720
Fenoprofen,DDInter721
Fentanyl,DDInter722
Ferric carboxymaltose,DDInter723
Ferric derisomaltose,DDInter724
Ferrous fumarate,DDInter725
Ferrous gluconate,DDInter726
Ferrous sulfate anhydrous,DDInter727
Ferumoxytol,DDInter730
Fesoterodine,DDInter731
Fexofenadine,DDInter732
Fibrinogen human,DDInter733
Fidaxomicin,DDInter734
Filgrastim,DDInter735
Finasteride,DDInter736
Fingolimod,DDInter737
Flavoxate,DDInter738
Flecainide,DDInter740
Flibanserin,DDInter741
Floxuridine,DDInter742
Fluconazole,DDInter743
Flucytosine,DDInter744
Fludarabine,DDInter745
Fludeoxyglucose (18F),DDInter746
Fludrocortisone,DDInter747
Flumazenil,DDInter748
Flunisolide,DDInter749
Flunisolide (nasal),DDInter750
Fluocinolone acetonide,DDInter751
Fluocinonide,DDInter752
Fluocinonide (topical),DDInter753
Fluorometholone,DDInter755
Fluorometholone (ophthalmic),DDInter756
Fluorouracil,DDInter757
Fluoxetine,DDInter758
Fluoxymesterone,DDInter759
Fluphenazine,DDInter760
Flurandrenolide (topical),DDInter761
Flurazepam,DDInter762
Flurbiprofen,DDInter763
Flurbiprofen (ophthalmic),DDInter764
Flutamide,DDInter765
Fluticasone,DDInter766
Fluticasone (nasal),DDInter767
Fluticasone (topical),DDInter768
Fluvastatin,DDInter769
Fluvoxamine,DDInter770
Folic acid,DDInter771
Fomepizole,DDInter773
Fondaparinux,DDInter775
Formoterol,DDInter776
Fosamprenavir,DDInter777
Fosaprepitant,DDInter778
Foscarnet,DDInter779
Fosfomycin,DDInter780
Fosinopril,DDInter781
Fosnetupitant,DDInter782
Fosphenytoin,DDInter783
Fospropofol,DDInter784
Fostamatinib,DDInter785
Fostemsavir,DDInter786
